Date,Description,Montant,Client,Date_echeance,Statut_paiement,Categorie,Prix_vente,Cout_unitaire
01/08/2024,Licence SaaS Enterprise Q3/2024 - 500 users,14892.45,Décathlon France,15/08/2024,Payé,Ventes,17870.94,11894.12
02/08/2024,Licence SaaS Pro - Menuiserie Martin,899.00,Menuiserie Martin SARL,17/08/2024,Payé,Ventes,899.00,599.33
03/08/2024,Achat serveurs cloud AWS - EC2 instances,-2847.92,Amazon Web Services,03/08/2024,Payé,Infrastructure IT,0,2847.92
03/08/2024,Formation Excel Avancé - 6 participants,780.00,Boulangerie La Mie Dorée,18/08/2024,Payé,Services,780.00,468.00
04/08/2024,Consulting stratégie digitale - Mission août,8234.50,Airbus Defense,20/08/2024,Payé,Services,9881.40,6587.60
05/08/2024,Licence SaaS Basic - Pharmacie Centrale,299.00,Pharmacie Centrale,20/08/2024,Payé,Ventes,299.00,199.33
06/08/2024,Abonnement Notion Team mensuel,-16.99,Notion Labs Inc,06/08/2024,Payé,Infrastructure IT,0,16.99
07/08/2024,Loyer bureaux août - 120m² Bd Haussmann,-3500.00,SCI Immobilier Haussmann,01/08/2024,Payé,Immobilier,0,3500.00
07/08/2024,Consulting RH - Recrutement dev senior,1450.00,Cabinet Expertise RH,22/08/2024,Payé,Services,1450.00,870.00
08/08/2024,Licence SaaS Pro - Garage Moderne Auto,899.00,Garage Moderne Auto,23/08/2024,Payé,Ventes,899.00,599.33
09/08/2024,Formation Power BI - 8 participants,1240.00,SARL Martinet Consulting,24/08/2024,Payé,Services,1240.00,744.00
10/08/2024,Vente Formation équipe 10 personnes - React,4387.50,Leroy Merlin,25/08/2024,Payé,Services,4865.00,3510.00
11/08/2024,Licence SaaS Basic - Coiffure Elegance,299.00,Coiffure Elegance,26/08/2024,Payé,Ventes,299.00,199.33
12/08/2024,Frais télécom et internet - Fibre pro 1Gb/s,-456.78,Orange Business Services,31/08/2024,Payé,Télécoms,0,456.78
12/08/2024,Café réunion client Airbus,-34.50,Starbucks République,12/08/2024,Payé,Mobilité,0,34.50
13/08/2024,Licence SaaS Enterprise - PME Transport,12450.00,TransExpress Logistique,28/08/2024,Payé,Ventes,13695.00,9958.00
14/08/2024,Consulting cybersécurité - Audit complet,2890.00,Cabinet Expertise Cyber,29/08/2024,Payé,Services,3179.00,2312.00
15/08/2024,Subvention innovation région - R&D IA,12000.00,Région Occitanie,15/08/2024,Payé,Autres,12000.00,0.00
15/08/2024,Déplacement Paris-Toulouse A/R - Mission Airbus,-187.60,SNCF Mobilités,15/08/2024,Payé,Mobilité,0,187.60
16/08/2024,Licence SaaS Pro - Restaurant Le Gourmet,899.00,Restaurant Le Gourmet,31/08/2024,Payé,Ventes,899.00,599.33
17/08/2024,Formation Python débutant - 5 participants,950.00,EURL Digital Start,01/09/2024,Payé,Services,950.00,570.00
18/08/2024,Salaires équipe technique août - 4 devs,-18534.12,URSSAF Île-de-France,31/08/2024,Payé,Masse Salariale,0,18534.12
19/08/2024,Licence SaaS Basic - Pressing Express,299.00,Pressing Express,03/09/2024,Payé,Ventes,299.00,199.33
20/08/2024,Vente Produit Premium A - Module Analytics,6723.45,Carrefour Supply Chain,05/09/2024,En attente,Ventes,7896.00,5378.76
21/08/2024,Abonnement Figma Professional,-45.00,Figma Inc,21/08/2024,Payé,Infrastructure IT,0,45.00
22/08/2024,Assurance RC professionnelle annuelle,-867.50,AXA Entreprises France,22/08/2024,Payé,Assurances,0,867.50
22/08/2024,Licence SaaS Pro - Agence Immo Plus,899.00,Agence Immo Plus,07/09/2024,Payé,Ventes,899.00,599.33
23/08/2024,Consulting UX/UI - Refonte site web,1680.00,Studio Créatif Design,08/09/2024,Payé,Services,1848.00,1344.00
24/08/2024,Formation SQL avancé - 4 participants,760.00,Comptoir des Artisans,09/09/2024,Payé,Services,760.00,456.00
25/08/2024,Prestations développement mobile iOS/Android,11892.30,Thales Digital Factory,10/09/2024,En attente,Services,13881.42,9513.84
26/08/2024,Licence SaaS Basic - Opticien Regard,299.00,Opticien Regard,11/09/2024,Payé,Ventes,299.00,199.33
27/08/2024,Déjeuner négociation contrat Thales,-89.40,Le Comptoir du Relais,27/08/2024,Payé,Mobilité,0,89.40
28/08/2024,Facture électricité août - Bureaux,-687.23,EDF Entreprises,15/09/2024,En cours,Immobilier,0,687.23
28/08/2024,Licence SaaS Pro - Cabinet Avocat Dupont,899.00,Cabinet Avocat Dupont,13/09/2024,Payé,Ventes,899.00,599.33
29/08/2024,Formation JavaScript ES6 - 7 participants,1330.00,Startup Tech Innov,14/09/2024,Payé,Services,1330.00,798.00
30/08/2024,Vente Produit Standard B - Module Base,3156.78,Décathlon France,15/09/2024,En attente,Ventes,3942.25,2525.42
31/08/2024,Abonnement Slack Business+,-123.50,Slack Technologies,31/08/2024,Payé,Télécoms,0,123.50
01/09/2024,Maintenance infrastructure IT - Support 24/7,-1234.56,OVHcloud SAS,01/09/2024,Payé,Infrastructure IT,0,1234.56
01/09/2024,Licence SaaS Basic - Fleuriste Roses,299.00,Fleuriste Les Roses,16/09/2024,Payé,Ventes,299.00,199.33
02/09/2024,Consulting marketing digital - SEO/SEA,1890.00,Agence Web Marketing,17/09/2024,Payé,Services,2079.00,1512.00
03/09/2024,Vente Licence SaaS Pro - PME industrielle,8423.67,Auchan Retail Division,18/09/2024,Payé,Ventes,9266.04,6738.94
04/09/2024,Formation Data Science - 6 participants,1140.00,Institut Formation Pro,19/09/2024,Payé,Services,1140.00,684.00
05/09/2024,Frais marketing Google Ads - Campagne Q3,-2456.89,Google Ireland Limited,05/09/2024,Payé,Marketing,0,2456.89
05/09/2024,Licence SaaS Basic - Librairie Pages,299.00,Librairie Les Pages,20/09/2024,Payé,Ventes,299.00,199.33
06/09/2024,Taxi aéroport mission client,-67.80,G7 Taxis,06/09/2024,Payé,Mobilité,0,67.80
07/09/2024,Licence SaaS Pro - Architecte Bâti Concept,899.00,Architecte Bâti Concept,22/09/2024,Payé,Ventes,899.00,599.33
08/09/2024,Prestations audit sécurité - Pentest complet,5387.90,Sopra Steria Cybersec,23/09/2024,En cours,Services,6426.48,4310.32
09/09/2024,Formation TypeScript - 5 participants,950.00,Dev Academy Paris,24/09/2024,Payé,Services,950.00,570.00
10/09/2024,Achat licences Microsoft 365 - 15 users,-1823.45,Microsoft France SARL,10/09/2024,Payé,Infrastructure IT,0,1823.45
10/09/2024,Licence SaaS Basic - Traiteur Saveurs,299.00,Traiteur Les Saveurs,25/09/2024,Payé,Ventes,299.00,199.33
11/09/2024,Consulting transformation digitale,2340.00,Cabinet Transform Digital,26/09/2024,Payé,Services,2574.00,1872.00
12/09/2024,Vente Formation Data Science équipe - 12 pers,9387.60,Capgemini Invent,27/09/2024,En attente,Services,10726.44,7510.08
13/09/2024,Licence SaaS Enterprise - ETI Logistique,15670.00,Groupe Logistique Express,28/09/2024,Payé,Ventes,17237.00,12536.00
14/09/2024,Abonnement GitHub Teams,-234.00,GitHub Inc,14/09/2024,Payé,Infrastructure IT,0,234.00
15/09/2024,Salaires équipe commerciale sept - 3 commerciaux,-12087.34,URSSAF Île-de-France,30/09/2024,Payé,Masse Salariale,0,12087.34
15/09/2024,Licence SaaS Basic - Vétérinaire AnimaCare,299.00,Vétérinaire AnimaCare,30/09/2024,Payé,Ventes,299.00,199.33
16/09/2024,Formation Cloud AWS - 4 participants,1520.00,PME TechSolutions,01/10/2024,Payé,Services,1520.00,912.00
17/09/2024,Déplacement Lyon mission client - TGV A/R,-145.30,SNCF Voyageurs,17/09/2024,Payé,Mobilité,0,145.30
18/09/2024,Vente Produit Premium C - Analytics Pro,5289.12,Leroy Merlin Digital,03/10/2024,Payé,Ventes,6346.94,4231.30
19/09/2024,Licence SaaS Pro - Expert Comptable Ledger,899.00,Expert Comptable Ledger,04/10/2024,Payé,Ventes,899.00,599.33
20/09/2024,Frais déplacement équipe - Missions clients sept,-967.45,Diverses dépenses,20/09/2024,Payé,Mobilité,0,967.45
20/09/2024,Formation Docker & Kubernetes - 6 participants,1140.00,Startup DevOps Lab,05/10/2024,Payé,Services,1140.00,684.00
21/09/2024,Licence SaaS Basic - Kinésithérapeute Santé,299.00,Kiné Santé Plus,06/10/2024,Payé,Ventes,299.00,199.33
22/09/2024,Subvention French Tech - Programme accélération,8000.00,Bpifrance Financement,22/09/2024,Payé,Autres,8000.00,0.00
23/09/2024,Consulting data analytics - BI Dashboard,1780.00,Data Insight Consulting,07/10/2024,Payé,Services,1958.00,1424.00
24/09/2024,Licence SaaS Pro - Agence Communication Pixel,899.00,Agence Pixel Creative,08/10/2024,Payé,Ventes,899.00,599.33
25/09/2024,Prestations UX/UI Design - App mobile refonte,4123.80,Publicis Sapient France,10/10/2024,En attente,Services,4948.56,3299.04
26/09/2024,Formation React Native - 5 participants,950.00,Mobile Dev Academy,11/10/2024,Payé,Services,950.00,570.00
27/09/2024,Abonnement Zoom Business - 50 licences,-189.90,Zoom Video Communications,27/09/2024,Payé,Télécoms,0,189.90
28/09/2024,Maintenance matériel bureau - Imprimantes/PC,-392.67,Bureau Vallée Services,28/09/2024,Payé,Services Pro,0,392.67
28/09/2024,Licence SaaS Basic - Pâtisserie Gourmande,299.00,Pâtisserie La Gourmande,13/10/2024,Payé,Ventes,299.00,199.33
29/09/2024,Consulting RGPD - Mise en conformité,2450.00,Cabinet Juridique DPO,14/10/2024,Payé,Services,2695.00,1960.00
30/09/2024,Vente Licence SaaS Basic - PME Distribution,3123.45,Casino Distribution,15/10/2024,En cours,Ventes,3435.80,2498.76
01/10/2024,Loyer bureaux octobre - 120m² Bd Haussmann,-3500.00,SCI Immobilier Haussmann,01/10/2024,Payé,Immobilier,0,3500.00
01/10/2024,Licence SaaS Pro - Notaire Office Legalis,899.00,Notaire Office Legalis,16/10/2024,Payé,Ventes,899.00,599.33
02/10/2024,Formation Node.js avancé - 7 participants,1330.00,Dev School Paris,17/10/2024,Payé,Services,1330.00,798.00
03/10/2024,Vente Produit Standard D - Module CRM,2734.56,Monoprix Franchise,18/10/2024,En attente,Ventes,3281.47,2187.65
04/10/2024,Abonnement Adobe Creative Cloud Teams,-345.67,Adobe Systems Inc,04/10/2024,Payé,Infrastructure IT,0,345.67
05/10/2024,Frais comptabilité expert - Bilan annuel,-1234.00,Cabinet Mazars et Associés,05/10/2024,Payé,Services Pro,0,1234.00
05/10/2024,Licence SaaS Basic - Salon Coiffure Tendance,299.00,Salon Coiffure Tendance,20/10/2024,Payé,Ventes,299.00,199.33
06/10/2024,Consulting DevOps - CI/CD Pipeline,1890.00,DevOps Consulting Pro,21/10/2024,Payé,Services,2079.00,1512.00
